"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"410",2413607,"241360",3893,3893,NA,NA,NA
"411",2413706,"241370",5433,5433,NA,NA,NA
"412",2413805,"241380",2518,2518,NA,NA,"FALSE"
"413",2413904,"241390",12366,12366,NA,NA,NA
"414",2414001,"241400",15529,15529,NA,NA,NA
"415",2414100,"241410",10646,10646,NA,NA,"FALSE"
"416",2414159,"241415",5757,5757,NA,NA,NA
"417",2414308,"241430",2418,2418,NA,NA,NA
"418",2414407,"241440",33506,33506,NA,NA,NA
"419",2414456,"241445",3366,3366,NA,NA,NA
"420",2414506,"241450",10835,10835,NA,NA,NA
"421",2414605,"241460",14282,14282,NA,NA,"FALSE"
"422",2414704,"241470",5512,5512,NA,NA,"FALSE"
"423",2414753,"241475",4121,4121,NA,NA,"FALSE"
"424",2414803,"241480",12016,12016,NA,NA,NA
"425",2414902,"241490",1714,1714,NA,NA,"FALSE"
"426",2500106,"250010",10083,10083,NA,NA,NA
"427",2500205,"250020",5573,5573,NA,NA,"FALSE"
"428",2500536,"250053",5451,5451,5451,0,"FALSE"
"429",2500577,"250057",2475,2475,NA,NA,NA
"430",2500700,"250070",17929,17929,NA,NA,"FALSE"
"431",2500734,"250073",2212,2212,2212,NA,NA
"432",2500775,"250077",8263,8263,NA,NA,"FALSE"
"433",2500908,"250090",13355,13355,13355,NA,"FALSE"
"434",2501005,"250100",20051,20051,20051,NA,"FALSE"
"435",2501153,"250115",1880,1880,1880,NA,"FALSE"
"436",2501203,"250120",6900,6900,NA,NA,"FALSE"
"437",2501302,"250130",19204,19204,NA,NA,"FALSE"
"438",2501351,"250135",3830,NA,NA,NA,"FALSE"
"439",2501500,"250150",21235,21235,NA,NA,NA
"440",2501534,"250153",4758,NA,NA,NA,"FALSE"
"441",2501575,"250157",8249,8249,NA,NA,"FALSE"
"442",2501609,"250160",15145,15145,NA,NA,NA
"443",2501708,"250170",5905,5905,NA,NA,"FALSE"
"444",2502003,"250200",7320,7320,7320,NA,"FALSE"
"445",2502052,"250205",3356,3356,NA,NA,NA
"446",2502102,"250210",5473,5473,NA,NA,"FALSE"
"447",2502151,"250215",6884,6884,NA,NA,"FALSE"
"448",2502201,"250220",2532,2532,NA,NA,"FALSE"
"449",2502300,"250230",5007,5007,NA,NA,"FALSE"
"450",2502409,"250240",11684,11684,11684,NA,"FALSE"
"451",2502508,"250250",17670,17670,17670,NA,"FALSE"
"452",2502607,"250260",6191,6191,NA,NA,"FALSE"
"453",2502805,"250280",13900,13900,NA,NA,NA
"454",2502904,"250290",6413,6413,NA,NA,NA
"455",2503100,"250310",5449,5449,NA,NA,NA
"456",2503308,"250330",10114,10114,NA,NA,"FALSE"
"457",2503407,"250340",3713,3713,NA,NA,"FALSE"
"458",2503506,"250350",17149,17149,NA,NA,"FALSE"
"459",2503555,"250355",7112,7112,7112,NA,"FALSE"
"460",2503605,"250360",7293,7293,NA,NA,NA
"461",2503704,"250370",61431,61431,61431,NA,"FALSE"
"462",2503753,"250375",3165,3165,3165,NA,"FALSE"
"463",2503902,"250390",5971,5971,5971,NA,"FALSE"
